Type,Transport,Value
End,台北捷運MRT,BR15-劍南路(美麗華)
End,台北捷運MRT,BR14-大直(實踐大學)
End,台北捷運MRT,BR13-松山機場
End,台北捷運MRT,BR12-中山國中
End,台北捷運MRT,BR11-南京復興
End,台北捷運MRT,BR10-忠孝復興
End,台北捷運MRT,BR09-大安
End,台北捷運MRT,BR08-科技大樓
End,台北捷運MRT,BR07-六張犁
End,台北捷運MRT,BR06-麟光
End,台北捷運MRT,BR05-辛亥
End,台北捷運MRT,BR04-萬芳醫院
End,台北捷運MRT,BR03-萬芳社區
End,台北捷運MRT,BR02-木柵
End,台北捷運MRT,BR01-動物園
End,台北捷運MRT,R22A-新北投
End,台北捷運MRT,R28-淡水
End,台北捷運MRT,R27-紅樹林
End,台北捷運MRT,R26-竹圍
End,台北捷運MRT,R25-關渡
End,台北捷運MRT,R24-忠義
End,台北捷運MRT,R23-復興崗
End,台北捷運MRT,R22-北投
End,台北捷運MRT,R21-奇岩
End,台北捷運MRT,R20-唭哩岸(陽明交通大學)
End,台北捷運MRT,R19-石牌(榮總)
End,台北捷運MRT,R18-明德
End,台北捷運MRT,R17-芝山
End,台北捷運MRT,R16-士林
End,台北捷運MRT,R15-劍潭(北藝中心)
End,台北捷運MRT,R14-圓山
End,台北捷運MRT,R13-民權西路
End,台北捷運MRT,R12-雙連(馬偕紀念醫院)
End,台北捷運MRT,R11-中山
End,台北捷運MRT,R10-台北車站
End,台北捷運MRT,R09-台大醫院
End,台北捷運MRT,R08-中正紀念堂(南門)
End,台北捷運MRT,R07-東門
End,台北捷運MRT,R06-大安森林公園
End,台北捷運MRT,R05-大安
End,台北捷運MRT,R04-信義安和
End,台北捷運MRT,R03-台北101/世貿
End,台北捷運MRT,R02-象山
End,台北捷運MRT,R01-廣慈/奉天宮
End,台北捷運MRT,G19-松山
End,台北捷運MRT,G18-南京三民
End,台北捷運MRT,G17-台北小巨蛋
End,台北捷運MRT,G16-南京復興
End,台北捷運MRT,G15-松江南京
End,台北捷運MRT,G14-中山
End,台北捷運MRT,G13-北門(大稻埕南)
End,台北捷運MRT,G12-西門
End,台北捷運MRT,G11-小南門
End,台北捷運MRT,G10-中正紀念堂(南門)
End,台北捷運MRT,G09-古亭
